rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count
1,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.963,1.0,0.0,9,0,0,9,0
2,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.9259,1.0,0.0,9,0,0,9,0
3,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.7407,0.7778,0.0,7,2,0,9,0
4,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.6296,0.6667,0.1111,6,2,1,9,0
5,qwen/qwen3-max-thinking@reasoning=high,qwen,high,1.6296,0.6667,0.1111,6,2,1,9,0
6,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.5185,0.5556,0.0,5,4,0,9,0
7,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.2593,0.5556,0.3333,5,1,3,9,0
8,qwen/qwen3-max-thinking@reasoning=none,qwen,none,1.2222,0.5556,0.3333,5,1,3,9,0
9,openai/gpt-5.4@reasoning=none,openai,none,1.1852,0.2222,0.0,2,7,0,9,0
10,nvidia/nemotron-3-super-120b-a12b@reasoning=none,nvidia,none,1.1482,0.4444,0.2222,4,3,2,9,0
11,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,0.963,0.1111,0.1111,1,7,1,9,0
12,google/gemma-4-31b-it@reasoning=high,google,high,0.9259,0.3333,0.3333,3,3,3,9,0
13,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,0.8148,0.3333,0.5556,3,1,5,9,0
14,nvidia/nemotron-3-super-120b-a12b@reasoning=high,nvidia,high,0.6667,0.2222,0.5556,2,2,5,9,0
15,openai/gpt-5.3-codex@reasoning=low,openai,low,0.6296,0.1111,0.4444,1,4,4,9,0
16,openai/gpt-5.3-codex@reasoning=high,openai,high,0.5556,0.1111,0.4444,1,4,4,9,0
17,google/gemma-4-31b-it@reasoning=none,google,none,0.4815,0.1111,0.6667,1,2,6,9,0
18,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.4815,0.0,0.4444,0,5,4,9,0
19,google/gemma-4-26b-a4b-it@reasoning=xhigh,google,xhigh,0.4074,0.0,0.6667,0,3,6,9,0
20,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.3704,0.1111,0.6667,1,2,6,9,0
21,google/gemini-3-flash-preview@reasoning=high,google,high,0.3704,0.1111,0.6667,1,2,6,9,0
22,google/gemini-2.5-flash@reasoning=default,google,default,0.3333,0.0,0.6667,0,3,6,9,0
23,google/gemma-4-26b-a4b-it@reasoning=none,google,none,0.3333,0.0,0.7778,0,2,7,9,0
24,google/gemini-3-flash-preview@reasoning=none,google,none,0.2963,0.1111,0.7778,1,1,7,9,0
25,deepseek/deepseek-v3.2@reasoning=high,deepseek,high,0.2963,0.0,0.6667,0,3,6,9,0
26,openai/gpt-oss-120b@reasoning=high,openai,high,0.2593,0.0,0.7778,0,2,7,9,0
27,openai/gpt-4.1@reasoning=default,openai,default,0.2222,0.0,0.6667,0,3,6,9,0
28,openai/gpt-oss-120b@reasoning=low,openai,low,0.1852,0.0,0.7778,0,2,7,9,0
29,minimax/minimax-m2.5@reasoning=high,minimax,high,0.1482,0.0,0.7778,0,2,7,9,0
30,minimax/minimax-m2.5@reasoning=low,minimax,low,0.1481,0.0,0.8889,0,1,8,9,0
31,anthropic/claude-3-haiku@reasoning=default,anthropic,default,0.1111,0.0,0.8889,0,1,8,9,0
