rank,model,org,reasoning,avg_score,green_rate,red_rate,score_2,score_1,score_0,nonsense_count,error_count,model_base,launch_date,model_age_days,launch_evidence_url,open_model_status,total_params_b,active_params_b,active_params_status,model_license
1,anthropic/claude-opus-4.6@reasoning=high,anthropic,high,1.963,1.0,0.0,9,0,0,9,0,anthropic/claude-opus-4.6,2026-02-05,74,https://www.anthropic.com/news/claude-opus-4-6,,,,,
2,anthropic/claude-sonnet-4.6@reasoning=high,anthropic,high,1.9259,1.0,0.0,9,0,0,9,0,anthropic/claude-sonnet-4.6,2026-02-17,62,https://www.anthropic.com/news/claude-sonnet-4-6,,,,,
3,anthropic/claude-opus-4.6@reasoning=none,anthropic,none,1.7407,0.7778,0.0,7,2,0,9,0,anthropic/claude-opus-4.6,2026-02-05,74,https://www.anthropic.com/news/claude-opus-4-6,,,,,
4,anthropic/claude-sonnet-4.6@reasoning=none,anthropic,none,1.6296,0.6667,0.1111,6,2,1,9,0,anthropic/claude-sonnet-4.6,2026-02-17,62,https://www.anthropic.com/news/claude-sonnet-4-6,,,,,
5,qwen/qwen3-max-thinking@reasoning=high,qwen,high,1.6296,0.6667,0.1111,6,2,1,9,0,qwen/qwen3-max-thinking,2026-01-23,87,https://qwen.ai/blog?id=qwen3-max-thinking,closed,,,not_disclosed,proprietary
6,qwen/qwen3.5-397b-a17b@reasoning=high,qwen,high,1.5185,0.5556,0.0,5,4,0,9,0,qwen/qwen3.5-397b-a17b,2026-02-17,62,https://www.alibabacloud.com/blog/602894,open_source,397,17,reported,apache-2.0
7,qwen/qwen3.5-397b-a17b@reasoning=none,qwen,none,1.2593,0.5556,0.3333,5,1,3,9,0,qwen/qwen3.5-397b-a17b,2026-02-17,62,https://www.alibabacloud.com/blog/602894,open_source,397,17,reported,apache-2.0
8,qwen/qwen3-max-thinking@reasoning=none,qwen,none,1.2222,0.5556,0.3333,5,1,3,9,0,qwen/qwen3-max-thinking,2026-01-23,87,https://qwen.ai/blog?id=qwen3-max-thinking,closed,,,not_disclosed,proprietary
9,openai/gpt-5.4@reasoning=none,openai,none,1.1852,0.2222,0.0,2,7,0,9,0,openai/gpt-5.4,2026-03-05,46,https://developers.openai.com/api/docs/models/gpt-5.4,,,,,
10,nvidia/nemotron-3-super-120b-a12b@reasoning=none,nvidia,none,1.1482,0.4444,0.2222,4,3,2,9,0,nvidia/nemotron-3-super-120b-a12b,2026-03-10,41,https://research.nvidia.com/labs/nemotron/Nemotron-3-Super/,open_weights,120.6,12.7,reported,nvidia-nemotron-open-model-license
11,openai/gpt-5.4@reasoning=xhigh,openai,xhigh,0.963,0.1111,0.1111,1,7,1,9,0,openai/gpt-5.4,2026-03-05,46,https://developers.openai.com/api/docs/models/gpt-5.4,,,,,
12,google/gemma-4-31b-it@reasoning=high,google,high,0.9259,0.3333,0.3333,3,3,3,9,0,google/gemma-4-31b-it,2026-04-02,18,https://ai.google.dev/gemini-api/docs/changelog,open_source,30.7,30.7,dense_equals_total,apache-2.0
13,anthropic/claude-3.5-haiku@reasoning=default,anthropic,default,0.8148,0.3333,0.5556,3,1,5,9,0,anthropic/claude-3.5-haiku,2024-10-22,545,https://www.anthropic.com/news/3-5-models-and-computer-use,,,,,
14,nvidia/nemotron-3-super-120b-a12b@reasoning=high,nvidia,high,0.6667,0.2222,0.5556,2,2,5,9,0,nvidia/nemotron-3-super-120b-a12b,2026-03-10,41,https://research.nvidia.com/labs/nemotron/Nemotron-3-Super/,open_weights,120.6,12.7,reported,nvidia-nemotron-open-model-license
15,openai/gpt-5.3-codex@reasoning=low,openai,low,0.6296,0.1111,0.4444,1,4,4,9,0,openai/gpt-5.3-codex,2026-02-05,74,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
16,openai/gpt-5.3-codex@reasoning=high,openai,high,0.5556,0.1111,0.4444,1,4,4,9,0,openai/gpt-5.3-codex,2026-02-05,74,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
17,google/gemma-4-31b-it@reasoning=none,google,none,0.4815,0.1111,0.6667,1,2,6,9,0,google/gemma-4-31b-it,2026-04-02,18,https://ai.google.dev/gemini-api/docs/changelog,open_source,30.7,30.7,dense_equals_total,apache-2.0
18,openai/gpt-5.3-codex@reasoning=xhigh,openai,xhigh,0.4815,0.0,0.4444,0,5,4,9,0,openai/gpt-5.3-codex,2026-02-05,74,https://openai.com/index/introducing-gpt-5-3-codex/,,,,,
19,google/gemma-4-26b-a4b-it@reasoning=xhigh,google,xhigh,0.4074,0.0,0.6667,0,3,6,9,0,google/gemma-4-26b-a4b-it,2026-04-02,18,https://ai.google.dev/gemini-api/docs/changelog,open_source,25.2,3.8,reported,apache-2.0
20,deepseek/deepseek-v3.2@reasoning=none,deepseek,none,0.3704,0.1111,0.6667,1,2,6,9,0,deepseek/deepseek-v3.2,2025-12-01,140,https://api-docs.deepseek.com/news/news251201,open_source,685,37,derived_from_first_party,mit
21,google/gemini-3-flash-preview@reasoning=high,google,high,0.3704,0.1111,0.6667,1,2,6,9,0,google/gemini-3-flash-preview,2025-12-17,124,https://ai.google.dev/gemini-api/docs/changelog,,,,,
22,google/gemini-2.5-flash@reasoning=default,google,default,0.3333,0.0,0.6667,0,3,6,9,0,google/gemini-2.5-flash,2025-06-17,307,https://ai.google.dev/gemini-api/docs/changelog,,,,,
23,google/gemma-4-26b-a4b-it@reasoning=none,google,none,0.3333,0.0,0.7778,0,2,7,9,0,google/gemma-4-26b-a4b-it,2026-04-02,18,https://ai.google.dev/gemini-api/docs/changelog,open_source,25.2,3.8,reported,apache-2.0
24,google/gemini-3-flash-preview@reasoning=none,google,none,0.2963,0.1111,0.7778,1,1,7,9,0,google/gemini-3-flash-preview,2025-12-17,124,https://ai.google.dev/gemini-api/docs/changelog,,,,,
